Number	Address	CrimeType	Date	Time
16-OPD-1411	510 N. Campus	Theft -Without Consent	8/31/16	7:25:00AM
16-OPD-1413	5201 COLLEGE CORNER PIKE	Theft -Without Consent - 240	8/31/16	12:12:00PM
16-OPD-1415	5061 RED CLOUD CT	Theft -Without Consent	8/31/16	8:43:00PM
16-OPD-1417	N POPLAR ST // E CHURCH ST	Sale of Liquor to Underage Person - underage consume beer in	9/1/16	3:18:00AM
16-OPD-1418	11 S POPLAR ST	unspecified	9/1/16	1:16:00PM
16-OPD-1419	5235 COLLEGE CORNER PIKE	WARRANT ASSIST / ARREST	9/1/16	1:30:00PM
16-OPD-1420	101 PLUM ST	Rape_victim mental or physical disability	9/1/16	2:51:00PM
16-OPD-1421	5170 BROWN RD	Theft -Without Consent	9/1/16	4:48:00PM
16-OPD-1424	AUTUMN DR // BROOKVILLE RD	unspecified	9/1/16	7:41:00PM
16-OPD-1427	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	9/2/16	1:31:00AM
16-OPD-1429	5720 COLLEGE CORNER PIKE	Possession of Drugs_schedule I or II substance	9/2/16	3:07:00AM
16-OPD-1430	130 W VINE ST	Aggravated Burglary - Inflict Harm	9/2/16	3:41:00AM
16-OPD-1432	S COLLEGE AV // HIGH ST	Theft - 23H	9/2/16	12:50:00PM
16-OPD-1433	MIAMI COMMONS	Burglary	9/2/16	6:51:00PM
16-OPD-1436	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/3/16	12:46:00AM
16-OPD-1437	11 W CHURCH ST	Disorderly Conduct - intoxicated annoy or alarm	9/3/16	1:21:00AM
16-OPD-1441	32 W CHURCH ST	Criminal Damaging/Endangering - Knowingly Any Means	9/3/16	10:10:00AM
16-OPD-1442	325 E SYCAMORE ST	Theft - 23F	9/3/16	12:43:00PM
16-OPD-1443	400 E VINE ST	Criminal Damaging/Endangering - Knowingly Any Means	9/3/16	1:40:00PM
16-OPD-1444	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/3/16	3:16:00PM
16-OPD-1447	E COLLINS ST // S MAIN ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/3/16	5:35:00PM
16-OPD-1450	310 N. Poplar St.	OVI - ANY CHEMICAL	9/3/16	11:42:00PM
16-OPD-1451	50 PARK PL E	Sale of Liquor to Underage Person - underage consume beer in	9/4/16	12:31:00AM
16-OPD-1452	316 S POPLAR ST	Burglary	9/4/16	1:57:00AM
16-OPD-1453	E SPRING ST // S POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	9/4/16	2:16:00AM
16-OPD-1456	15 E SPRING ST	unspecified	9/4/16	6:50:00AM
16-OPD-1458	223 N POPLAR ST	Criminal Damaging/Endangering - Knowingly Any Means	9/4/16	2:00:00PM
16-OPD-1461	124 WILLOW LN	Sale of Liquor to Underage Person - underage consume beer in	9/4/16	2:27:00PM
16-OPD-1462	110 N POPLAR ST	unspecified	9/5/16	12:00:00AM
16-OPD-1463	110 N POPLAR ST	unspecified	9/4/16	3:26:00PM
16-OPD-1464	419 N POPLAR ST	unspecified	9/4/16	6:58:00PM
16-OPD-1465	110 N POPLAR ST	unspecified	9/4/16	8:47:00PM
16-OPD-1466	110 N POPLAR ST	"Rape - Force, Threat Of"	9/4/16	11:51:00PM
16-OPD-1467	36 E. High St.	Assault - Knowingly Harm Victim	9/5/16	2:01:00AM
16-OPD-1469	300 S LOCUST ST	Theft - 23C	9/5/16	10:37:00AM
16-OPD-1470	626 W CHESTNUT ST	Theft - motor vehicle	9/16/16	12:00:00AM
16-OPD-1472	5032 COLLEGE CORNER PIKE	Assault	9/5/16	11:00:00PM
16-OPD-1473	15 W HIGH ST	Sale of Liquor to Underage Person	9/3/16	1:00:00AM
16-OPD-1474	314 E CHURCH ST	Sale of Liquor to Underage Person - underage consume beer in	9/3/16	12:25:00AM
16-OPD-1475	1 W HIGH ST	Theft -Without Consent	9/6/16	2:29:00PM
16-OPD-1477	100 BERN ST	Criminal Damaging/Endangering - Knowingly Any Means	9/6/16	3:27:00PM
16-OPD-1478	5991 CONTRERAS RD	Burglary	9/6/16	3:38:00PM
16-OPD-1479	215 FOXFIRE DR	Theft - 23H	9/6/16	5:48:00PM
16-OPD-1480	36 E HIGH ST	PETTY THEFT	9/7/16	12:47:00AM
16-OPD-1481	110 N POPLAR ST	Criminal Damaging/Endangering	9/7/16	9:18:00AM
16-OPD-1482	17 N POPLAR ST	Assault - Knowingly Harm Victim	9/7/16	1:24:00PM
16-OPD-1483	19 E HIGH ST	"Misuse Of Credit Card - Use Expired, Revoked, Etc."	9/7/16	2:36:00PM
16-OPD-1484	11 S POPLAR ST	Theft - 23H	9/7/16	4:31:00PM
16-OPD-1485	601 S LOCUST ST	Possession of Drugs_schedule I or II substance	12/28/16	12:00:00AM
16-OPD-1487	719 DANIEL DR	unspecified	9/8/16	12:37:00PM
16-OPD-1490	N BEECH ST // W HIGH ST	unspecified	9/7/16	3:20:00PM
16-OPD-1492	12 LANTERN RIDGE RD	unspecified	9/9/16	10:29:00AM
16-OPD-1493	6144 FAIRFIELD RD	unspecified	9/9/16	2:57:00PM
16-OPD-1494	4999 COLLEGE CORNER PIKE	"Taking the Identity of Another_obtain, possess, or use"	9/9/16	4:53:00PM
16-OPD-1495	110 N POPLAR ST	"Rape - Force, Threat Of"	9/9/16	5:10:00PM
16-OPD-1496	14 S POPLAR ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	9/9/16	11:30:00PM
16-OPD-1497	11 North College Avenue	Theft -Beyond Expression/Implied Consent	9/10/16	1:09:00AM
16-OPD-1498	601 S LOCUST ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/10/16	1:38:00AM
16-OPD-1499	305 S LOCUST ST	Theft -Deception	9/10/16	2:19:00AM
16-OPD-1505	312 S POPLAR ST	Burglary	9/11/16	1:32:00AM
16-OPD-1506	300 TALLAWANDA RD	Criminal Damaging/Endangering - Knowingly Any Means	9/11/16	1:52:00AM
16-OPD-1507	5201 COLLEGE CORNER PIKE	Criminal Damaging/Endangering - Knowingly Any Means	9/11/16	3:56:00AM
16-OPD-1509	415 E VINE ST	Theft - 23F	9/11/16	10:22:00AM
16-OPD-1510	5720 COLLEGE CORNER PIKE	Theft - 23H	9/11/16	4:35:00PM
16-OPD-1511	4985 COLLEGE CORNER PIKE	Criminal Simulation	9/11/16	7:44:00PM
16-OPD-1514	650 S PATTERSON AV - BLDG	Gross Sexual Imposition	9/12/16	10:37:00PM
16-OPD-1516	1387 Dana Dr.	Gross Sexual Imposition	9/12/16	9:24:00AM
16-OPD-1517	315 S LOCUST ST	DOG BITE	9/13/16	5:01:00PM
16-OPD-1518	640 MCGUFFEY AV	Violate protection Order or Consent Agreement	9/13/16	6:42:00PM
16-OPD-1519	5720 COLLEGE CORNER PIKE	unspecified	9/13/16	7:27:00PM
16-OPD-1521	5120 COLLEGE CORNER PIKE	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	9/14/16	10:10:00AM
16-OPD-1523	500 Block S CAMPUS AVE	Sale of Liquor to Underage Person - underage consume beer in	9/15/16	2:27:00AM
16-OPD-1524	108 E CHURCH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/15/16	5:46:00AM
16-OPD-1525	112 S POPLAR ST	unspecified	9/15/16	8:41:00AM
16-OPD-1526	5151 MORNING SUN RD	unspecified	9/16/16	12:00:00AM
16-OPD-1527	5032 COLLEGE CORNER PIKE	Burglary - Purpose To Commit Theft Offense Or Felony	9/15/16	1:46:00PM
16-OPD-1529	5201 COLLEGE CORNER PIKE	Assault - Knowingly Harm Victim	9/15/16	5:05:00PM
16-OPD-1531	2 Lynn Avenue	Theft -Without Consent	9/15/16	6:32:00PM
16-OPD-1536	205 E VINE ST	Criminal Damaging/Endangering - Knowingly Any Means	9/16/16	10:36:00AM
16-OPD-1538	4267 Kehr Road	unspecified	9/16/16	6:44:00PM
16-OPD-1539	5055 COLLEGE CORNER PIKE	PETTY THEFT	9/16/16	7:26:00PM
16-OPD-1541	17 N POPLAR ST	DISORDERLY CONDUCT	9/17/16	12:12:00AM
16-OPD-1542	110 N POPLAR ST	Assault	9/17/16	1:00:00AM
16-OPD-1544	S BEECH ST // W COLLINS ST	Assault	9/17/16	2:14:00AM
16-OPD-1546	N BEECH ST // W WITHROW ST	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL/DRUGS	9/17/16	1:27:00AM
16-OPD-1549	17 N POPLAR ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/17/16	4:06:00PM
16-OPD-1550	122 S CAMPUS AV	unspecified	9/17/16	5:45:00PM
16-OPD-1551	E HIGH ST // N POPLAR ST	OPD - 529.02E - Underage Person; Possession/Consumption / OP	9/17/16	7:14:00PM
16-OPD-1552	115 S POPLAR ST	CRIMINAL DAMAGING OR ENDANGERING	9/17/16	7:02:00PM
16-OPD-1554	31 W HIGH ST	Theft -Without Consent	9/17/16	7:51:00PM
16-OPD-1556	17 N. Poplar St.	Assault - Knowingly Harm Victim	9/17/16	11:16:00PM
16-OPD-1557	6050 CONTRERAS RD	unspecified	9/17/16	11:43:00PM
16-OPD-1558	45 E HIGH ST	Assault	9/18/16	12:19:00AM
16-OPD-1559	500-BLK S MAIN ST	OVI - ANY CHEMICAL	9/18/16	2:36:00AM
16-OPD-1560	115 W COLLINS ST	unspecified	9/18/16	3:33:00AM
16-OPD-1562	104 E CHURCH ST	Criminal Damaging/Endangering - Knowingly Any Means	9/18/16	5:08:00AM
16-OPD-1563	100 S POPLAR ST	Theft - motor vehicle	9/18/16	12:00:00AM
16-OPD-1572	105 E VINE ST	Theft - 23H	9/18/16	11:37:00AM
16-OPD-1573	5720 COLLEGE CORNER PIKE	Theft - 23C	9/18/16	3:20:00PM
16-OPD-1575	5720 COLLEGE CORNER PIKE	Theft - 23C	9/18/16	5:37:00PM
16-OPD-1576	N MAIN ST // HIGH ST	Possession of Drugs_marijuana	9/18/16	4:05:00PM
16-OPD-1577	5720 COLLEGE CORNER PIKE	Theft - 23C	9/17/16	5:07:00PM
16-OPD-1578	5201 COLLEGE CORNER PIKE	unspecified	9/18/16	9:51:00PM
16-OPD-1579	125 BERN ST	unspecified	9/18/16	2:36:00AM
16-OPD-1580	36 E HIGH ST	Theft -Deception	9/23/16	12:00:00AM
16-OPD-1582	19 E SPRING ST	Theft - 23H	9/19/16	10:10:00AM
16-OPD-1583	E Withrow	Rape - Substantially Impair Judgement	9/19/16	10:00:00AM
16-OPD-1584	21 LYNN ST	OPD - 529.02E - Underage Person; Possession/Consumption / OP	9/16/16	5:25:00PM
16-OPD-1585	304 E WITHROW ST	Criminal Mischief	9/19/16	11:37:00AM
16-OPD-1586	5201 COLLEGE CORNER PIKE	Theft - motor vehicle	9/25/16	12:00:00AM
16-OPD-1589	5412 COLLEGE CORNER PIKE	Burglary - Purpose To Commit Theft Offense Or Felony	9/19/16	4:22:00PM
16-OPD-1591	5201 COLLEGE CORNER PIKE	Theft -Without Consent	9/20/16	9:00:00AM
16-OPD-1593	11 S MAIN ST	Criminal Simulation - Make Or Alter Object	9/20/16	3:39:00PM
16-OPD-1594	32 W CHURCH ST	Burglary - Purpose To Commit Theft Offense Or Felony	9/20/16	4:12:00PM
16-OPD-1595	812 ERIN DR	Theft - 23H	9/20/16	4:51:00PM
16-OPD-1596	CONTRERAS RD // LYNN ST	Criminal Mischief	9/20/16	5:05:00PM
16-OPD-1597	4030 Oxford Reily Rd.	Juvenile - Unruly	9/21/16	10:33:00AM
16-OPD-1598	224 E CHURCH ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	9/21/16	11:55:00AM
16-OPD-1599	909 ARROWHEAD DR	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	9/21/16	3:05:00PM
16-OPD-1600	200 S LOCUST ST	Theft -Without Consent - 23C	9/21/16	4:25:00PM
16-OPD-1601	441 S Locust St	Theft - 23H	9/21/16	7:42:00PM
16-OPD-1604	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/23/16	12:24:00AM
16-OPD-1606	E SYCAMORE ST//N CAMPUS AVE	Theft -Without Consent	9/23/16	2:10:00AM
16-OPD-1607	118 W HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/23/16	5:09:00AM
16-OPD-1609	313 S COLLEGE AV	FAILURE OF PERSON SUMMONED TO APPEAR	9/23/16	11:30:00AM
16-OPD-1610	121 E HIGH ST	Theft - 23D	9/23/16	2:30:00PM
16-OPD-1611	813 1/2 S. College Ave.	Telephone Harassment	9/19/16	9:00:00AM
16-OPD-1612	17 N POPLAR ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/23/16	11:45:00PM
16-OPD-1613	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/24/16	1:13:00AM
16-OPD-1614	17 N. Poplar Street	Theft -Without Consent	9/24/16	1:24:00AM
16-OPD-1615	N COLLEGE AV // W VINE ST	Sale of Liquor to Underage Person - underage consume beer in	9/24/16	2:33:00AM
16-OPD-1616	17 N POPLAR ST	OPD - 529.02E - Underage Person; Possession/Consumption / OP	9/24/16	3:26:00PM
16-OPD-1617	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/24/16	4:00:00PM
16-OPD-1618	11 S MAIN ST	OPD - 529.02E - Underage Person; Possession/Consumption / OP	9/24/16	4:25:00PM
16-OPD-1619	31 W HIGH ST	Criminal Mischief	9/24/16	5:00:00PM
16-OPD-1620	17 E HIGH ST	Assault	9/24/16	9:54:00PM
16-OPD-1621	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	9/24/16	10:51:00PM
16-OPD-1622	S POPLAR ST // E SPRING ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/25/16	12:45:00AM
16-OPD-1623	36 E HIGH ST	Disorderly Conduct - intoxicated create risk of harm	9/25/16	1:27:00AM
16-OPD-1625	500 OAK ST	OVI - ANY CHEMICAL	9/25/16	2:50:00AM
16-OPD-1632	319 S MAIN ST	Burglary	9/25/16	12:56:00PM
16-OPD-1633	23 E HIGH ST	Theft - motor vehicle	9/26/16	12:00:00AM
16-OPD-1634	521 S. Poplar St.	Rape - Substantially Impair Judgement	9/25/16	9:34:00PM
16-OPD-1635	4999 COLLEGE CORNER PIKE	Obstructing Official Business	9/25/16	11:21:00PM
16-OPD-1637	4985 COLLEGE CORNER PIKE	Theft - 23C	9/26/16	9:46:00AM
16-OPD-1639	100 E COLLINS ST	Burglary - Purpose To Commit Theft Offense Or Felony	9/26/16	11:50:00AM
16-OPD-1642	5118 RED CLOUD CT	Criminal Damaging/Endangering	9/26/16	6:55:00PM
16-OPD-1644	115 N COLLEGE AV	Burglary - Purpose To Commit Theft Offense Or Felony	9/26/16	8:42:00PM
16-OPD-1646	209 N CAMPUS AV	Criminal Damaging/Endangering - Knowingly Any Means	9/27/16	4:06:00PM
16-OPD-1649	15 W HIGH ST	Theft - 23C	9/27/16	5:10:00PM
16-OPD-1650	716 S COLLEGE AV	Theft -Without Consent	9/27/16	5:13:00PM
16-OPD-1651	9 N BEECH ST	Theft -Deception	9/27/16	5:59:00PM
16-OPD-1652	111 BERN ST	Theft - 23F	9/27/16	6:57:00PM
16-OPD-1654	36 E HIGH ST	Assault - Knowingly Harm Victim	9/28/16	1:56:00AM
16-OPD-1655	111 JACQUELINE DR	Theft - 23H	9/28/16	10:39:00AM
16-OPD-1656	5720 College Corner Pike	Theft -Without Consent - 23C	10/5/16	12:00:00AM
16-OPD-1657	5061 RED CLOUD CT	Unlawful Restraint	9/28/16	8:57:00PM
16-OPD-1660	5720 College Corner Pike	Theft -Beyond Expression/Implied Consent	9/29/16	1:14:00PM
16-OPD-1661	S PATTERSON AV // E CHESTNUT ST	Driving While Under the Influence of Alcohol/Drugs	9/29/16	7:49:00PM
16-OPD-1662	36 E HIGH ST	OPD - 529.02E - Underage Person; Possession/Consumption / OP	9/29/16	11:45:00PM
16-OPD-1663	111 E HIGH ST	OPD - 529.02E - Underage Person; Possession/Consumption / OP	9/30/16	2:20:00AM
16-OPD-1664	300 TALLAWANDA RD	Criminal Damaging/Endangering - Knowingly Any Means	9/30/16	2:52:00AM
16-OPD-1665	5201 COLLEGE CORNER PIKE	Theft -Beyond Expression/Implied Consent	9/30/16	1:38:00PM
16-OPD-1666	5201 COLLEGE CORNER PIKE	OVI - ANY CHEMICAL	9/30/16	2:12:00PM
16-OPD-1667	530 MELISSA DR	Theft - 23H	9/30/16	3:44:00PM
16-OPD-1668	5958 Vereker Road	unspecified	9/30/16	6:00:00PM
16-OPD-1672	5720 COLLEGE CORNER PIKE	Criminal Trespass - Fail To Leave; Recklessly	9/30/16	7:41:00PM
16-OPD-1673	5720 COLLEGE CORNER PIKE	Theft - 23H	9/30/16	7:16:00PM
16-OPD-1674	S BEECH ST // W SPRING ST	OPD - Underage Person; Possesion/Consumption of Alcohol	9/30/16	11:29:00PM
16-OPD-1675	119 N CAMPUS AV	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	9/30/16	11:50:00PM
16-OPD-1676	100-BLK S COLLEGE AV	Driving While Under the Influence of Alcohol/Drugs	10/1/16	1:57:00AM
16-OPD-1677	WALNUT ST /PARKING GARAGE	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	10/1/16	2:18:00AM
16-OPD-1688	331 W VINE ST	"Taking the Identity of Another_obtain, possess, or use"	11/20/16	12:00:00AM
16-OPD-1689	615 OGDEN CT	Theft	10/1/16	11:38:00AM
16-OPD-1690	5720 COLLEGE CORNER PIKE	Criminal Trespass - Fail To Leave; Recklessly	10/1/16	12:34:00PM
16-OPD-1692	912 Arrowhead Drive	Burglary - Purpose To Commit Theft Offense Or Felony	10/1/16	8:29:00PM
16-OPD-1693	118 E HIGH ST	Theft -Without Consent	10/1/16	9:10:00PM
16-OPD-1694	17 N POPLAR ST	Criminal Trespass	10/1/16	9:25:00PM
16-OPD-1695	N COLLEGE AV // W SYCAMORE ST	OVI - AT OR ABOVE .17% BREATH	10/2/16	1:05:00AM
16-OPD-1700	215 S POPLAR ST	Criminal Damaging/Endangering - Knowingly Any Means	10/2/16	1:01:00PM
16-OPD-1701	35 E CHURCH ST	CERTAIN ACTS PROHIBTED	10/2/16	1:41:00AM
16-OPD-1702	5032 COLLEGE CORNER PIKE	Criminal Damaging/Endangering - Knowingly Any Means	10/3/16	1:50:00AM
16-OPD-1703	131 E WITHROW ST	Criminal Mischief	10/3/16	10:07:00AM
16-OPD-1704	715 S MAIN ST	Tampering W/ Coin Machines	10/3/16	1:52:00PM
16-OPD-1705	602 MELISSA DR	Theft - 23D	10/3/16	3:17:00PM
16-OPD-1706	7 E WALNUT ST	Theft - 23D	10/3/16	10:46:00PM
16-OPD-1707	210 N CAMPUS AV	Aggravated Robbery_deadly weapon	10/4/16	7:42:00PM
16-OPD-1708	804 S ELM ST	Aggravated Menacing	10/5/16	9:58:00AM
16-OPD-1710	315 MIAMI TRL	"Telephone Harassment - anonymous, harassing, etc"	10/5/16	8:19:00PM
16-OPD-1711	6102 JOSEPH DR	unspecified	10/5/16	11:07:00PM
16-OPD-1713	400 E CHESTNUT ST	Theft - 23D	10/6/16	7:49:00AM
16-OPD-1714	116 W COLLINS ST	Theft - 23F	10/6/16	10:58:00AM
16-OPD-1716	5032 COLLEGE CORNER PIKE	Obstructing Official Business	10/6/16	2:44:00PM
16-OPD-1717	102 W CHESTNUT ST	Drug Paraphernalia	10/6/16	5:58:00PM
16-OPD-1719	24 W HIGH ST	unspecified	10/7/16	2:25:00AM
16-OPD-1721	KEHR RD // SILVERLEAF DR	FAILURE OF PERSON SUMMONED TO APPEAR	10/7/16	11:11:00AM
16-OPD-1722	5201 COLLEGE CORNER PIKE	FAILURE OF PERSON SUMMONED TO APPEAR	10/7/16	2:33:00PM
16-OPD-1723	524 S COLLEGE AV	Theft - 23D	10/7/16	5:27:00PM
16-OPD-1724	15 E SYCAMORE ST	Burglary - Purpose To Commit Theft Offense Or Felony	10/7/16	10:08:00PM
16-OPD-1725	375 S COLLEGE AV	CERTAIN ACTS PROHIBTED	10/7/16	11:57:00PM
16-OPD-1727	3900-BLK OXFORD MILLVILLE RD	Driving While Under the Influence of Alcohol/Drugs	10/8/16	12:48:00AM
16-OPD-1728	17 N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	10/8/16	1:55:00AM
16-OPD-1729	102 TALLAWANDA RD	MENACING	10/8/16	3:37:00AM
16-OPD-1734	14 MIAMI COMMONS	Theft -Deception	10/8/16	10:51:00AM
16-OPD-1735	5399 COLLEGE CORNER PIKE	Theft - 23H	10/8/16	12:52:00PM
16-OPD-1736	5032 COLLEGE CORNER PIKE	OPD - 537.12 - Misuse of 911 System / 911 Emergency Service	10/8/16	12:03:00PM
16-OPD-1738	616 S COLLEGE AV	Failure to Appear	10/8/16	10:49:00PM
16-OPD-1739	329 W CHURCH ST	CERTAIN ACTS PROHIBTED	10/9/16	12:46:00AM
16-OPD-1746	300 W WITHROW ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	10/9/16	11:11:00AM
16-OPD-1747	416 N BEECH ST	Criminal Damaging/Endangering - Knowingly Any Means	10/9/16	12:25:00PM
16-OPD-1748	220 TALLAWANDA RD	Burglary - Purpose To Commit Crime	10/9/16	4:37:00PM
16-OPD-1749	112 1/2 S Main St	Criminal Damaging/Endangering - Knowingly Any Means	10/10/16	12:00:00AM
16-OPD-1750	514 S MAIN ST	Criminal Mischief	8/22/16	1:30:00PM
16-OPD-1753	420 S. Campus Ave.	Theft -Without Consent	10/10/16	5:54:00PM
16-OPD-1754	113 S. Elm St.	Theft -Without Consent	10/10/16	8:09:00PM
16-OPD-1755	11 S BEECH ST	Sexual Imposition - Offensive Contact	10/10/16	10:07:00PM
16-OPD-1756	115 E WALNUT ST	Criminal Damaging/Endangering - Knowingly Any Means	10/11/16	2:04:00AM
16-OPD-1757	119 E HIGH ST	Criminal Damaging/Endangering - Knowingly Any Means	10/11/16	2:33:00AM
16-OPD-1759	6 W WALNUT ST	Theft - 23F	10/11/16	12:39:00PM
16-OPD-1760	6 W WALNUT ST	Theft -Without Consent	10/11/16	1:03:00PM
16-OPD-1761	205 E VINE ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	10/11/16	1:05:00PM
16-OPD-1762	11 S. Poplar	"Rape - Force, Threat Of"	10/11/16	4:43:00PM
16-OPD-1763	5201 COLLEGE CORNER PIKE	Criminal Damaging/Endangering	10/11/16	6:03:00PM
16-OPD-1764	20 W. High St.	Disorderly Conduct - intoxicated create risk of harm	10/12/16	1:38:00AM
16-OPD-1765	121 W HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	10/12/16	1:26:00AM
16-OPD-1766	300 S LOCUST ST	PETTY THEFT	10/12/16	10:36:00AM
16-OPD-1767	5201 COLLEGE CORNER PIKE	Theft - 23F	10/12/16	3:21:00PM
16-OPD-1768	110 N POPLAR ST	unspecified	10/13/16	7:16:00AM
16-OPD-1771	217 S ELM ST	CRIMINAL MISCHIEF	10/13/16	5:36:00PM
16-OPD-1774	716 S COLLEGE AV	unspecified	10/14/16	4:49:00PM
16-OPD-1775	5991 CONTRERAS RD	Burglary	10/14/16	8:43:00PM
16-OPD-1776	5720 COLLEGE CORNER PIKE	PETTY THEFT	10/14/16	10:40:00PM
16-OPD-1777	0-BLK N MAIN ST	DISCHARGING FIREARMS	10/15/16	2:39:00AM
16-OPD-1778	5720 COLLEGE CORNER PIKE	PETTY THEFT	10/15/16	10:56:00PM
16-OPD-1779	5279 COLLEGE CORNER PIKE	"Possessing Drug Abuse Instrument - obtain, use"	10/16/16	1:27:00AM
16-OPD-1780	300 Block S MAIN ST	PHYSICAL CONTROL OF VEHICLE WHILE UNDER INFLUENCE	10/16/16	2:16:00AM
16-OPD-1781	5262 BROWN RD	Theft - 23D	10/16/16	2:09:00PM
16-OPD-1785	303 BROOKVIEW CT	Theft - 23F	10/19/16	12:00:00AM
16-OPD-1786	804 S COLLEGE AV	Theft - 23F	10/18/16	7:46:00AM
16-OPD-1787	903 MARILYN DR	unspecified	10/18/16	11:58:00AM
16-OPD-1788	909 S LOCUST ST	Theft - 23F	10/18/16	1:40:00PM
16-OPD-1789	311 W CHESTNUT ST	ANIMAL BITES; REPORTS AND QUARANTINE	10/18/16	3:05:00PM
16-OPD-1790	29 DAY CIR	Theft -Deception	10/18/16	5:36:00PM
16-OPD-1791	804 S ELM ST	Theft -Without Consent	10/18/16	6:44:00PM
16-OPD-1793	4163 INDIAN TRACE DR	WARRANT ASSIST / ARREST	10/18/16	7:50:00AM
16-OPD-1794	181 JACQUELINE DR	Burglary-trespass in permanent or temporary habitation	10/19/16	7:36:00PM
16-OPD-1798	5032 COLLEGE CORNER PIKE	"Rape - Force, Threat Of"	10/20/16	1:05:00PM
16-OPD-1799	36 E HIGH ST	OPD - 545.05 - Theft (All Other Larceny)	10/21/16	3:00:00AM
16-OPD-1801	922 TOLLGATE DR	unspecified	10/21/16	2:46:00PM
16-OPD-1802	507 WELLS MILL DR	OPD - 541.04A1 - Criminal Mischief;Damage	10/21/16	4:16:00PM
16-OPD-1803	0-BLK S CAMPUS AV	CERTAIN ACTS PROHIBTED	10/21/16	1:27:00AM
16-OPD-1806	124 W CHURCH ST	OPD - 529.02E - Underage Person; Possession/Consumption	10/22/16	2:13:00AM
16-OPD-1807	105 E SYCAMORE ST	Assault	10/22/16	3:34:00AM
16-OPD-1808	314 E CHURCH ST	OPD - 541.04A1 - Criminal Mischief;Damage	10/22/16	12:24:00PM
16-OPD-1809	5262 BROWN RD	Theft - 23F	10/22/16	2:05:00PM
16-OPD-1811	1008 ARROWHEAD DR	Assault - Knowingly Harm Victim	10/22/16	6:04:00PM
16-OPD-1812	21 LYNN ST	Disorderly Conduct - intoxicated create risk of harm	10/22/16	1:02:00AM
16-OPD-1814	100- E CHURCH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	10/23/16	12:42:00AM
16-OPD-1815	36 E HIGH ST	Sales to and use by Minors; Securing Public Accomodations	10/23/16	1:29:00AM
16-OPD-1816	17 N. Poplar St.	ASSAULT	10/23/16	1:30:00AM
16-OPD-1822	118 E CHURCH ST	OPD - 541.04A1 - Criminal Mischief;Damage	10/23/16	1:02:00PM
16-OPD-1823	241 EISENHOWER WAY	Rape	10/23/16	2:38:00PM
16-OPD-1824	5262 BROWN RD	Theft - 23G	10/23/16	4:27:00PM
16-OPD-1825	804 S MAIN ST	WARRANT ASSIST / ARREST	10/23/16	8:54:00PM
16-OPD-1826	110 N POPLAR ST	Rape	10/24/16	10:14:00AM
16-OPD-1827	20 W WALNUT ST	OPD - 541.04A1 - Criminal Mischief;Damage	10/24/16	10:15:00AM
16-OPD-1828	909 ARROWHEAD DR	Theft - 23H	10/24/16	12:54:00PM
16-OPD-1829	316 N COLLEGE AV	Theft - 23D	10/24/16	1:11:00PM
16-OPD-1830	9 E HIGH ST	Theft - 23C	10/24/16	1:55:00PM
16-OPD-1831	111 E CHURCH ST	Criminal Mischief	10/24/16	3:06:00PM
16-OPD-1832	5720 COLLEGE CORNER PIKE	Theft -Deception	10/24/16	3:20:00PM
